Channel_name,Subscribers,Views,Total_videos,playlist_id,Year_Published,Channel_Age
Samay Raina,6570000,924600635,968,UUAov2BBv1ZJav0c_yHEciAw,2013,11
Zakir Khan,7870000,799150691,201,UUkS7Vxu4PjM99w0Is6idjcg,2011,13
Rahul Dua,1130000,203061426,189,UUNqA44cRILQDwm9MG0vV-Og,2017,7
Abhishek Upmanyu,5210000,483014352,20,UU4muYPMCSYigqIwRjVWkQ2Q,2016,8
Anubhav Singh Bassi,5120000,403216282,7,UUKnZHF24IV9PT0cdSdHoWug,2016,8
Munawar Faruqui,5280000,449622829,59,UU4aTcVTewbHtLeV8eK3enwA,2010,14
Gurleen Pannu,631000,191128085,52,UUVycT_OilwV-LfdqTtESCIA,2014,10
Aakash Gupta,4380000,503163374,50,UUAYum5hCyfkSH5T3vSD_kwQ,2016,8
